date,close
2018-01-02,109.6445
2018-01-03,109.6751
2018-01-04,109.4777
2018-01-05,109.3496
2018-01-08,109.5681
2018-01-09,109.9025
2018-01-10,109.628
2018-01-11,109.4888
2018-01-12,108.901
2018-01-16,108.3218
2018-01-17,108.1526
2018-01-18,108.0655
2018-01-19,107.9455
2018-01-22,108.107
2018-01-23,107.9979
2018-01-24,107.0802
2018-01-25,106.5052
2018-01-26,106.6911
2018-01-29,107.1142
2018-01-30,107.1064
2018-01-31,106.7696
2018-02-01,106.4877
2018-02-02,107.1151
2018-02-05,107.33
2018-02-06,107.5204
2018-02-07,107.7175
2018-02-08,108.3025
2018-02-09,108.2582
2018-02-12,108.0332
2018-02-13,107.7574
2018-02-14,107.4691
2018-02-15,106.9867
2018-02-16,107.0359
2018-02-20,107.6249
2018-02-21,107.8679
2018-02-22,107.8668
2018-02-23,107.6804
2018-02-26,107.7347
2018-02-27,108.1731
2018-02-28,108.3903
2018-03-01,108.5358
2018-03-05,108.3614
2018-03-06,107.7969
2018-03-07,108.0911
2018-03-08,108.2671
2018-03-09,107.923
2018-03-12,107.9438
2018-03-13,107.7384
2018-03-14,107.8623
2018-03-15,108.2032
2018-03-16,108.4332
2018-03-19,108.3145
2018-03-20,108.4953
2018-03-22,107.9935
2018-03-23,107.7495
2018-03-26,107.1819
2018-03-27,107.3359
2018-03-28,107.5733
2018-03-29,107.665
2018-03-30,107.4784
2018-04-02,107.7033
2018-04-03,107.5624
2018-04-04,107.6361
2018-04-05,107.7281
2018-04-06,107.7886
2018-04-09,107.5316
2018-04-10,107.3659
2018-04-11,107.1224
2018-04-12,107.2905
2018-04-13,107.2368
2018-04-16,107.0595
2018-04-17,107.0344
2018-04-18,107.1096
2018-04-19,107.5197
2018-04-20,108.1787
2018-04-23,108.9332
2018-04-24,108.7906
2018-04-25,109.3447
2018-04-26,109.3646
2018-04-27,109.1735
2018-04-30,109.3363
2018-05-01,109.7445
2018-05-02,110.1625
2018-05-03,110.1803
2018-05-04,110.25
2018-05-07,110.5721
2018-05-08,111.063
2018-05-09,110.8818
2018-05-10,110.405
2018-05-11,110.2847
2018-05-14,110.408
2018-05-15,111.2292
2018-05-16,111.3068
2018-05-17,111.3547
2018-05-18,111.7171
2018-05-21,111.6394
2018-05-22,111.1945
2018-05-23,111.6933
2018-05-24,111.4885
2018-05-25,111.5843
2018-05-29,112.2127
2018-05-30,111.6731
2018-05-31,111.9894
2018-06-01,111.8265
2018-06-04,111.8247
2018-06-05,112.264
2018-06-06,111.7525
2018-06-07,112.0725
2018-06-08,112.1066
2018-06-11,112.1106
2018-06-12,112.2138
2018-06-13,112.2577
2018-06-14,112.8593
2018-06-15,113.3379
2018-06-18,113.4899
2018-06-19,113.639
2018-06-20,113.4784
2018-06-21,113.6109
2018-06-22,113.3047
2018-06-25,113.286
2018-06-26,113.3016
2018-06-27,113.8971
2018-06-28,113.8405
2018-06-29,113.2586
2018-07-02,114.1673
2018-07-03,113.3222
2018-07-05,112.9759
2018-07-06,112.6428
2018-07-09,112.6425
2018-07-10,112.5794
2018-07-11,112.8582
2018-07-12,112.779
2018-07-13,113.0705
2018-07-16,112.8437
2018-07-17,113.1504
2018-07-18,113.3348
2018-07-19,113.9463
2018-07-20,113.3213
2018-07-23,113.4246
2018-07-24,113.2045
2018-07-25,112.9221
2018-07-26,112.9179
2018-07-27,112.8125
2018-07-30,112.6044
2018-07-31,112.7299
2018-08-01,112.8899
2018-08-02,113.1679
2018-08-03,113.012
2018-08-06,113.229
2018-08-07,112.9759
2018-08-08,113.1411
2018-08-09,113.3806
2018-08-10,114.3005
2018-08-13,114.851
2018-08-14,114.658
2018-08-15,115.1526
2018-08-16,114.6416
2018-08-17,114.5339
2018-08-20,114.3504
2018-08-21,113.8604
2018-08-22,113.663
2018-08-23,114.0932
2018-08-24,113.5985
2018-08-27,113.2721
2018-08-28,113.3444
2018-08-29,113.6461
2018-08-30,114.0899
2018-08-31,114.2755
2018-09-04,114.8584
2018-09-05,114.7477
2018-09-06,114.6479
2018-09-07,114.5816
2018-09-10,114.6802
2018-09-11,114.7051
2018-09-12,114.2192
2018-09-13,113.9268
2018-09-14,114.0657
2018-09-17,113.9158
2018-09-18,113.7739
2018-09-19,113.6532
2018-09-20,113.4989
2018-09-21,113.5099
2018-09-24,113.5301
2018-09-25,113.7202
2018-09-26,113.6739
2018-09-27,113.9784
2018-09-28,113.8077
2018-10-01,113.8235
2018-10-02,113.8954
2018-10-03,114.1569
2018-10-04,114.6867
2018-10-05,114.561
2018-10-09,114.6583
2018-10-10,114.6072
2018-10-11,114.4074
2018-10-12,114.3691
2018-10-15,114.045
2018-10-16,113.8963
2018-10-17,114.1755
2018-10-18,114.8164
2018-10-19,114.8567
2018-10-22,115.1782
2018-10-23,115.1651
2018-10-24,115.3755
2018-10-25,115.4831
2018-10-26,115.473
2018-10-29,115.8936
2018-10-30,116.2357
2018-10-31,116.5281
2018-11-01,115.8657
2018-11-02,115.643
2018-11-05,115.703
2018-11-06,115.5622
2018-11-07,115.2519
2018-11-08,115.6478
2018-11-09,116.4778
2018-11-13,116.6694
2018-11-14,116.498
2018-11-15,116.3861
2018-11-16,115.9258
2018-11-19,115.9859
2018-11-20,116.2367
2018-11-21,116.092
2018-11-23,116.4713
2018-11-26,116.6208
2018-11-27,116.9001
2018-11-28,116.8343
2018-11-29,116.1961
2018-11-30,116.413
2018-12-03,115.9057
2018-12-04,116.0028
2018-12-06,116.3991
2018-12-07,116.0847
2018-12-10,116.6746
2018-12-11,116.7564
2018-12-12,116.2214
2018-12-13,116.3974
2018-12-14,116.79
2018-12-17,116.4532
2018-12-18,116.4127
2018-12-19,116.0676
2018-12-20,116.0183
2018-12-21,116.2227
2018-12-24,116.2182
2018-12-26,116.1162
2018-12-27,115.9927
2018-12-28,115.7232
2018-12-31,115.5674
